CaseNumber;Year;Month;FY;AcquiringFirm;TargetFirm;Size;Phase;Sector;SIC;Approval_Status;Joint_Venture;Joint_Control;Overlap_Type;Product_Market;Geographic_Market;TOH_Assess;Barriers_Assess;Barriers_Significant;Barriers_Identified;Barriers_Regulatory;Barriers_Structural;Barriers_Strategic;Entry_Assess;Num_Entered;Expansion_Assess;Num_Expand;Countervail_Assess;Countervail_Finding;Import_Comp;Import_Share;Import_Constraint;Efficiency_prov;Efficiency_substantive;Counterfactual_Assess;PublicInterest_Assess;PublicInterest_Identified;Conditions;Conditions_Comp_Type;Conditions_PI_Type
2011Jan5602;2011;Jan;2010/11;Lexshell 826 Investments (Pty) Ltd;Umcebo Mining (Pty) Ltd;L;2;Mining;24240;Approved;No;No;Horizontal and vertical;Thermal coal for the export market;;Input foreclosure/customer foreclosure;No;;;;;;No;;No;;Yes;Yes;No;;;No;No;No;Yes;effects on industrial/regional & employment & small business/firm & ability of national industries to compete in international markets;;;
2011Jan5602;2011;Jan;2010/11;Lexshell 826 Investments (Pty) Ltd;Umcebo Mining (Pty) Ltd;L;2;Mining;24240;Approved;No;No;Horizontal and vertical;Thermal coal for the residual domestic market;;Input foreclosure/customer foreclosure;No;;;;;;No;;No;;Yes;Yes;No;;;No;No;No;Yes;effects on industrial/regional & employment & small business/firm & ability of national industries to compete in international markets;;;
2011Jan5602;2011;Jan;2010/11;Lexshell 826 Investments (Pty) Ltd;Umcebo Mining (Pty) Ltd;L;2;Mining;24240;Approved;No;No;Horizontal and vertical;Thermal coal for the tied domestic market;;Input foreclosure/customer foreclosure;No;;;;;;No;;No;;Yes;Yes;No;;;No;No;No;Yes;effects on industrial/regional & employment & small business/firm & ability of national industries to compete in international markets;;;
2011Jan5604;2011;Jan;2010/11;Steinhoff Southern Cape (Pty) Ltd;PJ Van Reenen (Pty) Ltd;I;3;Foresty;12100;Approved with conditions;No;No;Horizontal and vertical;Manufacture and supply of treated poles;Western Cape, Eastern Cape, Southern Cape ,Southern Kwa Zulu Natal;Unilateral effects/coordinated effects/input foreclosure/customer foreclosure;No;;;;;;No;;No;;No;;No;;;No;;No;Yes;Effects on industrial/Regional & employment;both;;
2011Jan5604;2011;Jan;2010/11;Steinhoff Southern Cape (Pty) Ltd;PJ Van Reenen (Pty) Ltd;I;3;Foresty;12100;Approved with conditions;No;No;Horizontal and vertical;Production and supply of saw logs and poles;Approximately 150km around plantations;Unilateral effects/coordinated effects/input foreclosure/customer foreclosure;Yes;;Regulatory/Structural;Licensing/ Registration restrictions;Economies of Scale / Reliance on scarce resources;;No;;No;;No;;No;;;No;;No;Yes;Effects on industrial/Regional & employment;both;;
2011Jan5604;2011;Jan;2010/11;Steinhoff Southern Cape (Pty) Ltd;PJ Van Reenen (Pty) Ltd;I;3;Foresty;12100;Approved with conditions;No;No;Horizontal and vertical;Production and supply of structural sawn timber;Eastern Cape;Unilateral effects/coordinated effects/input foreclosure/customer foreclosure;Yes;;Regulatory/Structural;Licensing/ Registration restrictions;Economies of scale / Capital investment costs;;No;;No;;No;;No;;;No;;No;Yes;Effects on industrial/Regional & employment;both;;
2011Jan5604;2011;Jan;2010/11;Steinhoff Southern Cape (Pty) Ltd;PJ Van Reenen (Pty) Ltd;I;3;Foresty;12100;Approved with conditions;No;No;Horizontal and vertical;Production and supply of structural sawn timber;Southern Cape;Unilateral effects/coordinated effects/input foreclosure/customer foreclosure;Yes;;Regulatory/Structural;Licensing/ Registration restrictions;Economies of scale / Capital investment costs;;No;;No;;No;;No;;;No;;No;Yes;Effects on industrial/Regional & employment;both;;
2011Jan5604;2011;Jan;2010/11;Steinhoff Southern Cape (Pty) Ltd;PJ Van Reenen (Pty) Ltd;I;3;Foresty;12100;Approved with conditions;No;No;Horizontal and vertical;Production and supply of structural sawn timber;Southern Kwa Zulu Natal;Unilateral effects/coordinated effects/input foreclosure/customer foreclosure;Yes;;Regulatory/Structural;Licensing/ Registration restrictions;Economies of scale / Capital investment costs;;No;;No;;No;;No;;;No;;No;Yes;Effects on industrial/Regional & employment;both;;
2011Jan5604;2011;Jan;2010/11;Steinhoff Southern Cape (Pty) Ltd;PJ Van Reenen (Pty) Ltd;I;3;Foresty;12100;Approved with conditions;No;No;Horizontal and vertical;Production and supply of structural sawn timber;Western Cape;Unilateral effects/coordinated effects/input foreclosure/customer foreclosure;Yes;;Regulatory/Structural;Licensing/ Registration restrictions;Economies of scale / Capital investment costs;;No;;No;;No;;No;;;No;;No;Yes;Effects on industrial/Regional & employment;both;;
2011Feb5605;2011;Feb;2010/11;Pharmacare Limited (T/A Aspen Pharmacare);African Health Network (Pty) Limited;I;3;Health;93192;Approved;No;No;Horizontal;Anti-Epileptics (N3A);National;;Yes;;Strategic advantages;;;;No;;No;;Yes;Yes;No;;No;No;;Yes;Yes;effect on employment;;;
2011Feb5605;2011;Feb;2010/11;Pharmacare Limited (T/A Aspen Pharmacare);African Health Network (Pty) Limited;I;3;Health;93192;Approved;No;No;Horizontal;Antihistamines (R6A);National;;Yes;;Strategic advantages;;;;No;;No;;Yes;Yes;No;;No;No;;Yes;Yes;effect on employment;;;
2011Feb5605;2011;Feb;2010/11;Pharmacare Limited (T/A Aspen Pharmacare);African Health Network (Pty) Limited;I;3;Health;93192;Approved;No;No;Horizontal;Expectorants (R5C);National;;Yes;;Strategic advantages;;;;No;;No;;Yes;Yes;No;;No;No;;Yes;Yes;effect on employment;;;
2011Feb5605;2011;Feb;2010/11;Pharmacare Limited (T/A Aspen Pharmacare);African Health Network (Pty) Limited;I;3;Health;93192;Approved;No;No;Horizontal;Nitrites and Nitrates (C1E);National;;Yes;;Strategic advantages;;;;No;;No;;Yes;Yes;No;;No;No;;Yes;Yes;effect on employment;;;
2011Feb5605;2011;Feb;2010/11;Pharmacare Limited (T/A Aspen Pharmacare);African Health Network (Pty) Limited;I;3;Health;93192;Approved;No;No;Horizontal;Topical Nasal Preparations (R1A);National;;Yes;;Strategic advantages;;;;No;;No;;Yes;Yes;No;;No;No;;Yes;Yes;effect on employment;;;
2011Feb5605;2011;Feb;2010/11;Pharmacare Limited (T/A Aspen Pharmacare);African Health Network (Pty) Limited;I;3;Health;93192;Approved;No;No;Horizontal;Tranquilisers (N5C);National;;Yes;;Strategic advantages;;;;No;;No;;Yes;Yes;No;;No;No;;Yes;Yes;effect on employment;;;
2011Feb5611;2011;Feb;2010/11;Woodmead Mart (Pty) Ltd, Centpret Properties (Pty) Ltd, IPS Investments (Pty) Ltd;Redefine Properties Limited, in respect of five (5) property letting enterprises;I;1;Property;84110;Approved;No;No;Horizontal;Rentable grade C office space in the greater Johannesburg CBD node;Greater Johannesburg CBD node;;No;;;;;;No;;No;;No;;No;;;No;;No;Yes;None;;;
2011Feb5611;2011;Feb;2010/11;Woodmead Mart (Pty) Ltd, Centpret Properties (Pty) Ltd, IPS Investments (Pty) Ltd;Redefine Properties Limited, in respect of five (5) property letting enterprises;I;1;Property;84110;Approved;No;No;Horizontal;Rentable retail space in the Centurion node;Centurion node;;No;;;;;;No;;No;;No;;No;;;No;;No;Yes;None;;;
2011Feb5611;2011;Feb;2010/11;Woodmead Mart (Pty) Ltd, Centpret Properties (Pty) Ltd, IPS Investments (Pty) Ltd;Redefine Properties Limited, in respect of five (5) property letting enterprises;I;1;Property;84110;Approved;No;No;Horizontal;Rentable retail space in the Johannesburg CBD node;Johannesburg CBD node;;No;;;;;;No;;No;;No;;No;;;No;;No;Yes;None;;;
2011Feb5619;2011;Feb;2010/11;Johnson Controls, Inc,;Keiper Betelligungs GmbH;I;2;Manufacturing;3830;Approved;No;No;Vertical ;downstream markets for (i) the manufacture/supply of integrated metal structures for light vehicle front seats ;No exact finding;Input foreclosure/customer foreclosure;Yes;;Structural;;;;No;;No;;Yes;Yes;No;;;;;;;effects on employment & small business/firm ;;;
2011Feb5619;2011;Feb;2010/11;Johnson Controls, Inc,;Keiper Betelligungs GmbH;I;2;Manufacturing;3830;Approved;No;No;Vertical ;downstream markets for (ii) the market for the supply of JIT seats;No exact finding;Input foreclosure/customer foreclosure;Yes;;Structural;;;;No;;No;;Yes;Yes;No;;;;;;;effects on employment & small business/firm ;;;
2011Feb5619;2011;Feb;2010/11;Johnson Controls, Inc,;Keiper Betelligungs GmbH;I;2;Manufacturing;3830;Approved;No;No;Vertical ;upstream market for the manufacture/supply of individual metal components (Recliners);No exact finding;Input foreclosure/customer foreclosure;Yes;;Structural;;;;No;;No;;Yes;Yes;No;;;;;;;effects on employment & small business/firm ;;;
2011Feb5624;2011;Feb;2010/11;PPG Coatings South Africa (Pty) Ltd;Ducol Coatings South Africa (Pty) Ltd;I;2;Retail;63204;Approved;No;No;Vertical ;supply of automotive refinished coatings;National;Input foreclosure;No;;;;;;No;;No;;No;;No;;No;No;;No;Yes;;;;
2011Feb5646;2011;Feb;2010/11;RMB Ventures Six (Pty) Ltd;MCG Industries (Pty) Ltd;L;1;Manufacturing;33430;Approved;No;No;Horizontal;MCG market for plastic chairs;;;No;;;;;;No;;No;;No;;No;;;No;;No;Yes;None;;;
2011Feb5646;2011;Feb;2010/11;RMB Ventures Six (Pty) Ltd;MCG Industries (Pty) Ltd;L;1;Manufacturing;33430;Approved;No;No;Horizontal;SA Leisure market for plastic chairs;;;No;;;;;;No;;No;;No;;No;;;No;;No;Yes;None;;;
2011Feb5649;2011;Feb;2010/11;Government Employee Pension Fund;Lexshell 44 General Trading (Pty) Ltd;L;2;Property;84110;Approved;No;Yes;Horizontal;Grade A office space;Waterfront, Cape Town CBD;;No;;;;;;No;;No;;Yes;Yes;No;;No;No;;No;Yes;;;;
2011Feb5649;2011;Feb;2010/11;Government Employee Pension Fund;Lexshell 44 General Trading (Pty) Ltd;L;2;Property;84110;Approved;No;Yes;Horizontal;Grade B office space;Waterfront, Cape Town CBD;;No;;;;;;No;;No;;Yes;Yes;No;;No;No;;No;Yes;;;;
2011Feb5649;2011;Feb;2010/11;Government Employee Pension Fund;Lexshell 44 General Trading (Pty) Ltd;L;2;Property;84110;Approved;No;Yes;Horizontal;market for the provision of residential property;;;No;;;;;;No;;No;;Yes;Yes;No;;No;No;;No;Yes;;;;
2011Feb5649;2011;Feb;2010/11;Government Employee Pension Fund;Lexshell 44 General Trading (Pty) Ltd;L;2;Property;84110;Approved;No;Yes;Horizontal;the market for the provision of rentable regional retail space;Waterfront, and Cape Town CBD ;;No;;;;;;No;;No;;Yes;Yes;No;;No;No;;No;Yes;;;;
2011Feb5665;2011;Feb;2010/11;Cargill Incorporated;AWB Limited;I;1;Agriculture;11400;Approved;No;No;Horizontal;Sale of wheat;National;;No;;;;;;No;;No;;No;;No;;No;No;No;No;No;;;;
2011Feb5670;2011;Feb;2010/11;Media 24 Limited and Paarl Coldset (Pty) Ltd;The Natal Witness Printing and Publishing Company (Pty) Ltd;L;3;Publishing;32420;Approved with conditions;No;No;Vertical ;Supply of free newspaper publishing;Kwa-Zulu Natal and Eastern Cape;;Yes;;Regulatory & Structural & Strategic;Licensing/ Registration restrictions;Network effects;High investment branding;No;;No;;No;;No;;No;No;No;No;No;;;;
2011Feb5670;2011;Feb;2010/11;Media 24 Limited and Paarl Coldset (Pty) Ltd;The Natal Witness Printing and Publishing Company (Pty) Ltd;L;3;Publishing;32420;Approved with conditions;No;No;Vertical ;Supply of paid-for newspaper publising;Kwa- Zulu Natal;;Yes;;Regulatory & Structural & Strategic;Licensing/ Registration restrictions;Network effects;High investment branding;No;;No;;No;;No;;No;No;No;No;No;;;;
2011Feb5672;2011;Feb;2010/11;Kotsama Property and Investments (Pty) Ltd;The rental enterprise known as Eikestad Mall;I;1;Property;84110;Approved;No;Yes;None;Rental Property;Stellenbosch;Unilateral effects;No;;;;;;No;;No;;No;;No;;;No;;No;Yes;Effects on industrial/Regional & employment;;;
2011Mar5676;2011;Mar;2010/11;Aquarius Platinum Limited;Afarak Platinum Holdings (Pty) Ltd;I;2;Mining;24240;Approved;No;No;Horizontal;Copper;International;Loss of potential competition;No;;;;;;No;;No;;Yes;Yes;No;;;No;;No;Yes;effect on employment;;;
2011Mar5676;2011;Mar;2010/11;Aquarius Platinum Limited;Afarak Platinum Holdings (Pty) Ltd;I;2;Mining;24240;Approved;No;No;Horizontal;Gold;International;Loss of potential competition;No;;;;;;No;;No;;Yes;Yes;No;;;No;;No;Yes;effect on employment;;;
2011Mar5676;2011;Mar;2010/11;Aquarius Platinum Limited;Afarak Platinum Holdings (Pty) Ltd;I;2;Mining;24240;Approved;No;No;Horizontal;Iridium;International;Loss of potential competition;No;;;;;;No;;No;;Yes;Yes;No;;;No;;No;Yes;effect on employment;;;
2011Mar5676;2011;Mar;2010/11;Aquarius Platinum Limited;Afarak Platinum Holdings (Pty) Ltd;I;2;Mining;24240;Approved;No;No;Horizontal;Nickel;International;Loss of potential competition;No;;;;;;No;;No;;Yes;Yes;No;;;No;;No;Yes;effect on employment;;;
2011Mar5676;2011;Mar;2010/11;Aquarius Platinum Limited;Afarak Platinum Holdings (Pty) Ltd;I;2;Mining;24240;Approved;No;No;Horizontal;Osmium;International;Loss of potential competition;No;;;;;;No;;No;;Yes;Yes;No;;;No;;No;Yes;effect on employment;;;
2011Mar5676;2011;Mar;2010/11;Aquarius Platinum Limited;Afarak Platinum Holdings (Pty) Ltd;I;2;Mining;24240;Approved;No;No;Horizontal;Palladium;International;Loss of potential competition;No;;;;;;No;;No;;Yes;Yes;No;;;No;;No;Yes;effect on employment;;;
2011Mar5676;2011;Mar;2010/11;Aquarius Platinum Limited;Afarak Platinum Holdings (Pty) Ltd;I;2;Mining;24240;Approved;No;No;Horizontal;Platinum;International;Loss of potential competition;No;;;;;;No;;No;;Yes;Yes;No;;;No;;No;Yes;effect on employment;;;
2011Mar5676;2011;Mar;2010/11;Aquarius Platinum Limited;Afarak Platinum Holdings (Pty) Ltd;I;2;Mining;24240;Approved;No;No;Horizontal;Rhodium;International;Loss of potential competition;No;;;;;;No;;No;;Yes;Yes;No;;;No;;No;Yes;effect on employment;;;
2011Mar5676;2011;Mar;2010/11;Aquarius Platinum Limited;Afarak Platinum Holdings (Pty) Ltd;I;2;Mining;24240;Approved;No;No;Horizontal;Ruthenium;International;Loss of potential competition;No;;;;;;No;;No;;Yes;Yes;No;;;No;;No;Yes;effect on employment;;;
2011Mar5678;2011;Mar;2010/11;Coveway Trade and Invest 98 (Pty) Ltd;Actom Low Voltage Equipment, a division of Actom (Pty) Ltd;I;2;Manufacturing;3650;Approved;No;No;Horizontal and vertical;Manufacturing and supply of control assemblies;National;Input foreclosure/customer foreclosure;No;;;;;;No;;No;;Yes;Yes;No;;;No;;No;Yes;Effects on industrial/Regional & employment & small business/firm & ability of national industries to compete in international markets;;;
2011Mar5678;2011;Mar;2010/11;Coveway Trade and Invest 98 (Pty) Ltd;Actom Low Voltage Equipment, a division of Actom (Pty) Ltd;I;2;Manufacturing;3650;Approved;No;No;Horizontal and vertical;Manufacturing and supply of LV switchgear and control gear components;National;Input foreclosure/customer foreclosure;Yes;;Regulatory/Structural;Standards and SPS requirements;Capital investment costs;;No;;No;;Yes;Yes;No;;;No;;No;Yes;Effects on industrial/Regional & employment & small business/firm & ability of national industries to compete in international markets;;;
2011Mar5678;2011;Mar;2010/11;Coveway Trade and Invest 98 (Pty) Ltd;Actom Low Voltage Equipment, a division of Actom (Pty) Ltd;I;2;Manufacturing;3650;Approved;No;No;Horizontal and vertical;Manufacturing and supply of switchgear assemblies;National;Input foreclosure/customer foreclosure;Yes;;Regulatory/Structural;Standards and SPS requirements;Capital investment costs;;No;;No;;Yes;Yes;No;;;No;;No;Yes;Effects on industrial/Regional & employment & small business/firm & ability of national industries to compete in international markets;;;
2011Mar5678;2011;Mar;2010/11;Coveway Trade and Invest 98 (Pty) Ltd;Actom Low Voltage Equipment, a division of Actom (Pty) Ltd;I;2;Manufacturing;3650;Approved;No;No;Horizontal and vertical;Manufacturing and supply of Uninterrupted Power Supply devices;National;Input foreclosure/customer foreclosure;Yes;;Regulatory/Structural;Standards and SPS requirements;Capital investment costs;;No;;No;;Yes;Yes;No;;;No;;No;Yes;Effects on industrial/Regional & employment & small business/firm & ability of national industries to compete in international markets;;;
2011Mar5678;2011;Mar;2010/11;Coveway Trade and Invest 98 (Pty) Ltd;Actom Low Voltage Equipment, a division of Actom (Pty) Ltd;I;2;Manufacturing;3650;Approved;No;No;Horizontal and vertical;Supply of Ring Main Unit's;National;Input foreclosure/customer foreclosure;No;;;;;;No;;No;;Yes;Yes;No;;;No;;No;Yes;Effects on industrial/Regional & employment & small business/firm & ability of national industries to compete in international markets;;;
2011Mar5679;2011;Mar;2010/11;Toll Road Concessionaires (Pty) Ltd;Pt Operational Services (Pty) Ltd;I;2;Transport;74135;Approved;No;No;Horizontal and vertical;Provision of toll road operation services;National;Input foreclosure;Yes;;Strategic advantages;;;;Yes;1;No;;Yes;Yes;No;;;No;;No;Yes;effect on employment;;;
2011Mar5681;2011;Mar;2010/11;Rio Tinto plc;Riversdale Mining Limited;L;2;Mining;21000;Approved;No;No;;;;;;;;;;;No;;;;;;;;;No;No;No;No;;;;
2011Mar5682;2011;Mar;2010/11;Danaher Corporation;Beckman Coulter, Inc,;I;2;Manufacturing;357;Approved;No;No;Horizontal;Analytical Instruments for Life Sciences;International;;No;;;;;;No;;No;;No;;No;;No;No;;No;Yes;effect on employment;;;
2011Mar5682;2011;Mar;2010/11;Danaher Corporation;Beckman Coulter, Inc,;I;2;Manufacturing;357;Approved;No;No;Horizontal;Clinical diagnostics products (instruments and consumables);International;;No;;;;;;No;;No;;No;;No;;No;No;;No;No;effect on employment;;;
2011Mar5685;2011;Mar;2010/11;Tiger Brands Limited;Davita Trading (Pty) Ltd;L;1;Manufacturing;30530;Approved;No;No;;;;;;;;;;;No;;;;;;;;;No;No;No;No;;;;
2011Mar5686;2011;Mar;2010/11;Government Employees Pension Fund;Friedshelf 173 (Pty) Ltd;I;1;Property;84130;Approved;No;No;Horizontal;undefined;The SAPOA nodes which are based on municipal zonings of property for industrial use;;No;;;;;;No;;No;;No;;No;;No;No;;No;No;;;;
2011Mar5692;2011;Mar;2010/11;Wilmar Continental Edible Oils and Fats (Pty) Ltd;Continental Oil Mills (Pty) Ltd;I;2;Manufacturing;3014;Approved;No;No;Horizontal and vertical;OilCake;;Unilateral effects/coordinated effects/input foreclosure/customer foreclosure;Yes;;Structural;;Capital investment costs;;No;;No;;Yes;Yes;No;;;No;;No;Yes;Effects on industrial/Regional & employment;;;
2011Mar5692;2011;Mar;2010/11;Wilmar Continental Edible Oils and Fats (Pty) Ltd;Continental Oil Mills (Pty) Ltd;I;2;Manufacturing;3014;Approved;No;No;Horizontal and vertical;Refined Crude Oil;;Unilateral effects/coordinated effects/input foreclosure/customer foreclosure;Yes;;Structural;;Capital investment costs;;No;;No;;Yes;Yes;No;;;No;;No;Yes;Effects on industrial/Regional & employment;;;
2011Mar5692;2011;Mar;2010/11;Wilmar Continental Edible Oils and Fats (Pty) Ltd;Continental Oil Mills (Pty) Ltd;I;2;Manufacturing;3014;Approved;No;No;Horizontal and vertical;Refined Oil;;Unilateral effects/coordinated effects/input foreclosure/customer foreclosure;Yes;;Structural;;Capital investment costs;;No;;No;;Yes;Yes;No;;;No;;No;Yes;Effects on industrial/Regional & employment;;;
2011Mar5692;2011;Mar;2010/11;Wilmar Continental Edible Oils and Fats (Pty) Ltd;Continental Oil Mills (Pty) Ltd;I;2;Manufacturing;3014;Approved;No;No;Horizontal and vertical;The crushing of vegetable oil seeds;;Unilateral effects/coordinated effects/input foreclosure/customer foreclosure;Yes;;Structural;;Capital investment costs;;No;;No;;Yes;Yes;No;;;No;;No;Yes;Effects on industrial/Regional & employment;;;
2011Mar5692;2011;Mar;2010/11;Wilmar Continental Edible Oils and Fats (Pty) Ltd;Continental Oil Mills (Pty) Ltd;I;2;Manufacturing;3014;Approved;No;No;Horizontal and vertical;The market for refining of vegetable crude oil;;Unilateral effects/coordinated effects/input foreclosure/customer foreclosure;Yes;;Structural;;Capital investment costs;;No;;No;;Yes;Yes;No;;;No;;No;Yes;Effects on industrial/Regional & employment;;;
2011Mar5697;2011;Mar;2010/11;Andulela Investment Holdings Limited;Gibbsteel (Pty) Ltd;I;1;Manufacturing;351;Approved;No;No;Horizontal;Manufacture and supply of flat steel;National;;No;;;;;;No;;No;;No;;No;;No;No;No;No;No;;;;
2011Mar5697;2011;Mar;2010/11;Andulela Investment Holdings Limited;Gibbsteel (Pty) Ltd;I;1;Manufacturing;351;Approved;No;No;Horizontal;Manufacture and supply of long steel;National;;No;;;;;;No;;No;;No;;No;;No;No;No;No;No;;;;
2011Mar5698;2011;Mar;2010/11;Investec Property Limited;The Edgardale Properties;L;1;Property;84110;Approved;No;No;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011Mar5699;2011;Mar;2010/11;Clariant AG;Süd-Chemie AG;I;1;Manufacturing;33599;Approved;No;No;None;;National;;No;;;;;;No;;No;;No;;No;;No;No;No;No;No;;;;
2011Mar5710;2011;Mar;2010/11;JD Group Limited;Unitrans Motor Enterprises (Pty) Ltd and Steinhoff Doors and Buildings (Pty) Ltd;L;2;Retail;6312;Approved;No;No;Horizontal and vertical;undefined;undefined;Unilateral effects/coordinated effects/input foreclosure/customer foreclosure;Yes;;;;;;Yes;;Yes;;Yes;Yes;Yes;;Yes;No;;No;Yes;effect on employment;;;
2011Mar5711;2011;Mar;2010/11;Robor (Pty) Ltd;KMG Steel Services Centres (Pty) Ltd;I;2;Wholesale;6190;Approved with conditions;No;No;Horizontal;Merchandising of long product;South Africa;Unilateral effects/coordinated effects;No;;;;;;No;;No;;Yes;Yes;No;;;No;;No;Yes;effects on industrial/regional & employment & small business/firm & ability of national industries to compete in international markets;public interest;;effect on employment
2011Mar5711;2011;Mar;2010/11;Robor (Pty) Ltd;KMG Steel Services Centres (Pty) Ltd;I;2;Wholesale;6190;Approved with conditions;No;No;Horizontal;Merchandising of plate ;South Africa;Unilateral effects/coordinated effects;No;;;;;;No;;No;;Yes;Yes;No;;;No;;No;Yes;effects on industrial/regional & employment & small business/firm & ability of national industries to compete in international markets;public interest;;effect on employment
2011Mar5711;2011;Mar;2010/11;Robor (Pty) Ltd;KMG Steel Services Centres (Pty) Ltd;I;2;Wholesale;6190;Approved with conditions;No;No;Horizontal;Merchandising of sheet;South Africa;Unilateral effects/coordinated effects;No;;;;;;No;;No;;Yes;Yes;No;;;No;;No;Yes;effects on industrial/regional & employment & small business/firm & ability of national industries to compete in international markets;public interest;;effect on employment
